Abbreviation,DriverId,TeamName,Points,Round,Session
NOR,norris,McLaren,25.0,21,Race
ANT,antonelli,Mercedes,18.0,21,Race
VER,max_verstappen,Red Bull Racing,15.0,21,Race
RUS,russell,Mercedes,12.0,21,Race
PIA,piastri,McLaren,10.0,21,Race
BEA,bearman,Haas F1 Team,8.0,21,Race
LAW,lawson,Racing Bulls,6.0,21,Race
HAD,hadjar,Racing Bulls,4.0,21,Race
HUL,hulkenberg,Kick Sauber,2.0,21,Race
GAS,gasly,Alpine,1.0,21,Race
ALB,albon,Williams,0.0,21,Race
OCO,ocon,Haas F1 Team,0.0,21,Race
SAI,sainz,Williams,0.0,21,Race
ALO,alonso,Aston Martin,0.0,21,Race
COL,colapinto,Alpine,0.0,21,Race
STR,stroll,Aston Martin,0.0,21,Race
TSU,tsunoda,Red Bull Racing,0.0,21,Race
HAM,hamilton,Ferrari,0.0,21,Race
LEC,leclerc,Ferrari,0.0,21,Race
BOR,bortoleto,Kick Sauber,0.0,21,Race
VER,max_verstappen,Red Bull Racing,25.0,22,Race
RUS,russell,Mercedes,18.0,22,Race
ANT,antonelli,Mercedes,15.0,22,Race
LEC,leclerc,Ferrari,12.0,22,Race
SAI,sainz,Williams,10.0,22,Race
HAD,hadjar,Racing Bulls,8.0,22,Race
HUL,hulkenberg,Kick Sauber,6.0,22,Race
HAM,hamilton,Ferrari,4.0,22,Race
OCO,ocon,Haas F1 Team,2.0,22,Race
BEA,bearman,Haas F1 Team,1.0,22,Race
ALO,alonso,Aston Martin,0.0,22,Race
TSU,tsunoda,Red Bull Racing,0.0,22,Race
GAS,gasly,Alpine,0.0,22,Race
LAW,lawson,Racing Bulls,0.0,22,Race
COL,colapinto,Alpine,0.0,22,Race
ALB,albon,Williams,0.0,22,Race
BOR,bortoleto,Kick Sauber,0.0,22,Race
STR,stroll,Aston Martin,0.0,22,Race
NOR,norris,McLaren,0.0,22,Race
PIA,piastri,McLaren,0.0,22,Race
VER,max_verstappen,Red Bull Racing,25.0,23,Race
PIA,piastri,McLaren,18.0,23,Race
SAI,sainz,Williams,15.0,23,Race
NOR,norris,McLaren,12.0,23,Race
ANT,antonelli,Mercedes,10.0,23,Race
RUS,russell,Mercedes,8.0,23,Race
ALO,alonso,Aston Martin,6.0,23,Race
LEC,leclerc,Ferrari,4.0,23,Race
LAW,lawson,Racing Bulls,2.0,23,Race
TSU,tsunoda,Red Bull Racing,1.0,23,Race
ALB,albon,Williams,0.0,23,Race
HAM,hamilton,Ferrari,0.0,23,Race
BOR,bortoleto,Kick Sauber,0.0,23,Race
COL,colapinto,Alpine,0.0,23,Race
OCO,ocon,Haas F1 Team,0.0,23,Race
GAS,gasly,Alpine,0.0,23,Race
STR,stroll,Aston Martin,0.0,23,Race
HAD,hadjar,Racing Bulls,0.0,23,Race
BEA,bearman,Haas F1 Team,0.0,23,Race
HUL,hulkenberg,Kick Sauber,0.0,23,Race
VER,,Red Bull Racing,,24,Race
PIA,,McLaren,,24,Race
NOR,,McLaren,,24,Race
LEC,,Ferrari,,24,Race
RUS,,Mercedes,,24,Race
ALO,,Aston Martin,,24,Race
OCO,,Haas F1 Team,,24,Race
HAM,,Ferrari,,24,Race
STR,,Aston Martin,,24,Race
BEA,,Haas F1 Team,,24,Race
HUL,,Kick Sauber,,24,Race
BOR,,Kick Sauber,,24,Race
SAI,,Williams,,24,Race
TSU,,Red Bull Racing,,24,Race
ANT,,Mercedes,,24,Race
ALB,,Williams,,24,Race
HAD,,Racing Bulls,,24,Race
LAW,,Racing Bulls,,24,Race
GAS,,Alpine,,24,Race
COL,,Alpine,,24,Race
